"district_no","accumulation_period","Year","stations_rain","stations_temp","Y_t","IR_t","IT_t","prediction"
3153,"3:7",2009,4651,722,86.9023529411765,302.2,6.41372549019608,84.8859297761567
3153,"3:7",2010,4651,722,85.4438235294117,323.9,5.92418300653595,86.9861202412802
3153,"3:7",2011,4651,722,79.885294117647,279.3,6.66143790849673,81.6844570987788
3153,"3:7",2012,4651,722,74.8267647058823,271.6,6.13986928104575,76.5784199223649
3153,"3:7",2013,4651,722,88.5682352941176,331.2,4.70065359477124,87.6090216815896
3153,"3:7",2014,4651,722,91.4097058823529,442.8,7.41176470588235,90.306591633602
3153,"3:7",2015,4651,722,88.8511764705882,328.3,5.61830065359477,87.170402344271
3153,"3:7",2016,4651,722,88.6926470588235,336.7,6.04640522875817,89.2407027573232
3153,"3:7",2017,4651,722,86.7341176470588,482.4,6.6,85.9131459306461
3153,"3:7",2018,4651,722,73.7755882352941,197.4,7.95816993464052,73.8704668259917
3153,"3:7",2019,4651,722,90.6170588235294,329.9,6.99803921568627,91.6899227793109
3153,"3:7",2020,4651,722,88.7585294117647,306.8,6.14575163398693,84.585077766004
3153,"3:7",2021,4651,722,78.4,347.1,5.7921568627451,90.2889018178335
3154,"3:6",2006,1544,6266,77.3875,192.3,10.4295081967213,78.8312474357462
3154,"3:6",2007,1544,6266,69.615,312.5,12.7811475409836,72.5490999462891
3154,"3:6",2008,1544,6266,87.4425,176.7,11.3106557377049,82.9847279463273
3154,"3:6",2009,1544,6266,84.97,166.3,11.6081967213115,82.7408470494785
3154,"3:6",2010,1544,6266,75.5975,181,10.3540983606557,81.466113479541
3154,"3:6",2011,1544,6266,72.525,125.7,12.1860655737705,70.0322314686975
3154,"3:6",2012,1544,6266,73.1525,147.6,11.7360655737705,79.5262887734478
3154,"3:6",2013,1544,6266,82.58,184.4,9.13934426229508,80.0562236020108
3154,"3:6",2014,1544,6266,88.5075,178.3,11.95,84.3054957530699
3154,"3:6",2015,1544,6266,82.035,109.6,10.7614754098361,78.4566101146891
3154,"3:6",2016,1544,6266,87.6625,172.9,11.5975409836066,83.2471432620407
3154,"3:6",2017,1544,6266,81.59,268.1,12.2163934426229,76.498149838613
3154,"3:6",2018,1544,6266,67.9175,130.3,12.6188524590164,69.3791638728018
3154,"3:6",2019,1544,6266,82.145,178.1,12.4016393442623,85.5879213772263
3154,"3:6",2020,1544,6266,75.3725,132.5,11.6426229508197,76.1733078256126
3154,"3:6",2021,1544,6266,76.5,165,10.994262295082,83.165428254408
3155,"3:10",2006,4651,1691,83.1433823529412,438.4,13.1538775510204,80.1826720311423
3155,"3:10",2007,4651,1691,74.4738235294118,894.8,12.9089795918367,72.7805648683425
3155,"3:10",2008,4651,1691,94.6042647058823,580.8,12.6428571428571,87.2449934119293
3155,"3:10",2009,4651,1691,87.0347058823529,518.1,12.9004081632653,84.9803365081435
3155,"3:10",2010,4651,1691,84.0651470588235,681.6,12.250612244898,88.4160790462715
3155,"3:10",2011,4651,1691,82.3955882352941,484.9,13.1330612244898,83.6209955061996
3155,"3:10",2012,4651,1691,71.5260294117647,415.2,12.8987755102041,77.5168964921212
3155,"3:10",2013,4651,1691,89.4564705882353,502.4,12.0542857142857,87.0090003487441
3155,"3:10",2014,4651,1691,91.0869117647059,696.6,13.5526530612245,90.399820007496
3155,"3:10",2015,4651,1691,90.0173529411765,517,12.6285714285714,84.9961574879437
3155,"3:10",2016,4651,1691,87.6477941176471,504.8,13.249387755102,85.3311402908125
3155,"3:10",2017,4651,1691,85.0782352941176,730,13.3775510204082,87.8931671542924
3155,"3:10",2018,4651,1691,77.1086764705882,320.7,14.2359183673469,76.8164172654416
3155,"3:10",2019,4651,1691,88.5391176470588,529,13.6204081632653,89.1668997378162
3155,"3:10",2020,4651,1691,85.5695588235294,595.7,13.0914285714286,88.0185645943472
3155,"3:10",2021,4651,1691,77.9,518.9,12.5436734693878,85.2733540724783
3157,"3:5",2006,2014,662,79.4235294117647,155.1,8.09347826086957,88.3687650340976
3157,"3:5",2007,2014,662,73.3352941176471,243.3,11.2521739130435,74.6105440337013
3157,"3:5",2008,2014,662,97.5470588235294,150.9,9.40434782608696,92.1789791368473
3157,"3:5",2009,2014,662,86.9588235294118,103.8,10.6858695652174,83.2604543761128
3157,"3:5",2010,2014,662,82.4705882352941,121.1,8.28152173913043,82.6841769177896
3157,"3:5",2011,2014,662,81.7823529411765,76.4,10.5315217391304,80.674778241737
3157,"3:5",2012,2014,662,77.2941176470588,84.6,10.4413043478261,82.0666870872369
3157,"3:5",2013,2014,662,87.7058823529412,193.7,6.82391304347826,83.6311041396764
3157,"3:5",2014,2014,662,91.0176470588235,163.9,10.6097826086957,87.3288857362481
3157,"3:5",2015,2014,662,91.5294117647059,106.8,8.95652173913044,84.153422899397
3157,"3:5",2016,2014,662,89.0411764705882,124,9.38695652173913,88.5652059755368
