stations_id,von_datum,bis_datum,geobreite,geolaenge,kreis_code,res,var,per,dist,kreis_code_in,state
2115,1952-05-01,2024-05-12,54.175,7.892,Helgoland,daily,kl,historical,81.3847916120465,1054,Nordfriesland
2429,1988-03-01,2024-05-12,53.9897,9.5697,Itzehoe,daily,kl,historical,82.17634901176923,1054,Nordfriesland
891,1946-01-01,2024-05-12,53.8713,8.706,Cuxhaven,daily,kl,historical,83.6683561745625,1054,Nordfriesland
2564,1974-01-01,2024-05-12,54.3776,10.1424,Kiel-Holtenau,daily,kl,historical,84.72329310202376,1054,Nordfriesland
2961,1998-01-01,2024-05-12,54.4996,10.2737,Leuchtturm Kiel,daily,kl,historical,89.76335777678429,1054,Nordfriesland
1451,1970-11-01,2024-05-12,53.8277,9.2493,Freiburg/Elbe,daily,kl,historical,90.56150864215056,1054,Nordfriesland
19171,2020-09-01,2024-05-12,54.0039,9.8555,Hasenkrug-Hardebek,daily,kl,historical,92.19103671742815,1054,Nordfriesland
7427,2007-09-01,2024-05-12,54.0188,9.9255,Padenstedt (Pony-Park),daily,kl,historical,94.13207515732492,1054,Nordfriesland
3639,1974-01-01,2024-05-12,53.7647,8.6584,Nordholz-Wanhoeden,daily,kl,historical,95.86044136698098,1054,Nordfriesland
102,1998-01-01,2024-05-12,53.8633,8.1275,Leuchtturm Alte Weser,daily,kl,historical,97.41468284530339,1054,Nordfriesland
4896,1974-12-01,2022-11-30,54.6654,9.805,Wagersrott,daily,kl,historical,58.755644516979494,1054,Nordfriesland
3897,1998-01-01,2024-05-12,54.0893,10.8773,Pelzerhaken,daily,kl,historical,11.74806243192809,1055,Ostholstein
5877,1997-03-10,2024-05-12,54.316,10.8002,Putlos,daily,kl,historical,14.144443773641251,1055,Ostholstein
2306,1977-11-01,2024-05-12,54.3194,10.6732,Hohwacht,daily,kl,historical,17.291721194536397,1055,Ostholstein
5078,1940-01-01,2024-05-12,53.9619,10.8892,Travemuende,daily,kl,historical,25.69434928955553,1055,Ostholstein
6163,1999-10-04,2024-05-12,54.1654,10.3519,Doernick,daily,kl,historical,30.51034653157384,1055,Ostholstein
596,1947-01-01,2024-05-12,54.0027,11.1908,Boltenhagen,daily,kl,historical,31.91164562419925,1055,Ostholstein
5516,1948-01-01,2024-05-12,54.5283,11.0606,Fehmarn,daily,kl,historical,40.82117090430442,1055,Ostholstein
3086,1985-03-01,2024-05-12,53.8025,10.6989,Luebeck-Blankensee,daily,kl,historical,43.71648426910031,1055,Ostholstein
2578,1865-01-01,2024-05-12,53.9995,11.4341,Kirchdorf/Poel,daily,kl,historical,45.32615806898445,1055,Ostholstein
2564,1974-01-01,2024-05-12,54.3776,10.1424,Kiel-Holtenau,daily,kl,historical,48.65323284061363,1055,Ostholstein
5280,1981-04-01,2024-05-12,53.9224,10.2267,Wittenborn,daily,kl,historical,48.73212226087698,1055,Ostholstein
2961,1998-01-01,2024-05-12,54.4996,10.2737,Leuchtturm Kiel,daily,kl,historical,49.39313123742533,1055,Ostholstein
6101,1999-12-16,2024-05-12,54.1323,11.6719,Bastorf-Kaegsdorf (SWN),daily,kl,historical,55.892819827958306,1055,Ostholstein
7427,2007-09-01,2024-05-12,54.0188,9.9255,Padenstedt (Pony-Park),daily,kl,historical,61.25398332230526,1055,Ostholstein
19171,2020-09-01,2024-05-12,54.0039,9.8555,Hasenkrug-Hardebek,daily,kl,historical,66.11713918702229,1055,Ostholstein
6105,1998-06-01,2024-05-12,54.3194,9.8051,Ostenfeld (Rendsburg),daily,kl,historical,67.42786915361238,1055,Ostholstein
1736,1951-01-01,2024-05-12,53.5731,10.6797,Grambek,daily,kl,historical,69.11984401820072,1055,Ostholstein
4625,1890-01-01,2024-05-12,53.6424,11.3871,Schwerin,daily,kl,historical,71.2895008896554,1055,Ostholstein
5930,1981-08-01,2024-05-12,54.641,10.0238,Schoenhagen (Ostseebad),daily,kl,historical,71.90282529615259,1055,Ostholstein
4039,1974-12-01,2024-05-12,53.7331,9.8776,Quickborn,daily,kl,historical,79.78110192612793,1055,Ostholstein
4271,1947-01-01,2024-05-12,54.1803,12.0808,Rostock-Warnemuende,daily,kl,historical,82.11222392584982,1055,Ostholstein
1975,1936-01-01,2024-05-12,53.6332,9.9881,Hamburg-Fuhlsbuettel,daily,kl,historical,82.36707758066015,1055,Ostholstein
2303,1969-01-01,2024-05-12,54.3162,9.5385,Hohn,daily,kl,historical,84.36658063267018,1055,Ostholstein
2429,1988-03-01,2024-05-12,53.9897,9.5697,Itzehoe,daily,kl,historical,84.43966927708823,1055,Ostholstein
591,1947-01-01,2024-05-12,53.3911,10.6878,Boizenburg,daily,kl,historical,89.16921812340536,1055,Ostholstein
2437,1971-01-01,2024-05-12,54.457,9.5203,Schleswig-Jagel,daily,kl,historical,89.32247913750363,1055,Ostholstein
4466,1947-01-01,2024-05-12,54.5275,9.5487,Schleswig,daily,kl,historical,90.48887668234397,1055,Ostholstein
19207,2023-04-01,2024-05-12,53.8178,12.0645,Guelzow-Pruezen,daily,kl,recent,91.27986368631562,1055,Ostholstein
19172,2020-09-01,2024-05-12,54.0246,9.388,Wacken,daily,kl,historical,95.0620711758585,1055,Ostholstein
1266,1964-05-01,2024-05-12,54.2992,9.3162,Erfde,daily,kl,historical,98.40011684613934,1055,Ostholstein
1803,1967-01-01,2024-05-12,54.0714,12.3238,Gross Luesewitz,daily,kl,historical,98.91790802862495,1055,Ostholstein
1981,1962-05-01,2024-05-12,53.4776,9.8957,Hamburg-Neuwiedenthal,daily,kl,historical,99.65980125133314,1055,Ostholstein
4896,1974-12-01,2022-11-30,54.6654,9.805,Wagersrott,daily,kl,historical,84.28812451157923,1055,Ostholstein
4039,1974-12-01,2024-05-12,53.7331,9.8776,Quickborn,daily,kl,historical,9.329366793494822,1056,Pinneberg
1975,1936-01-01,2024-05-12,53.6332,9.9881,Hamburg-Fuhlsbuettel,daily,kl,historical,18.948952314656594,1056,Pinneberg
4857,1990-11-01,2024-05-12,53.5534,9.6097,Mittelnkirchen-Hohenfelde,daily,kl,historical,20.132972304049275,1056,Pinneberg
6108,2001-06-27,2024-05-12,53.7197,9.4192,Ruthenstrom,daily,kl,historical,20.99262748333689,1056,Pinneberg
1981,1962-05-01,2024-05-12,53.4776,9.8957,Hamburg-Neuwiedenthal,daily,kl,historical,28.643259776433705,1056,Pinneberg
2429,1988-03-01,2024-05-12,53.9897,9.5697,Itzehoe,daily,kl,historical,32.20720573200117,1056,Pinneberg
19171,2020-09-01,2024-05-12,54.0039,9.8555,Hasenkrug-Hardebek,daily,kl,historical,32.74617670151192,1056,Pinneberg
1451,1970-11-01,2024-05-12,53.8277,9.2493,Freiburg/Elbe,daily,kl,historical,34.381036404862506,1056,Pinneberg
7427,2007-09-01,2024-05-12,54.0188,9.9255,Padenstedt (Pony-Park),daily,kl,historical,35.667282596669395,1056,Pinneberg
5280,1981-04-01,2024-05-12,53.9224,10.2267,Wittenborn,daily,kl,historical,39.32535544017456,1056,Pinneberg
19172,2020-09-01,2024-05-12,54.0246,9.388,Wacken,daily,kl,historical,41.1360753826662,1056,Pinneberg
