"district_no","accumulation_period","Year","stations","Y_t","IR_t","IT_t","prediction"
6434,"3:4",2010,5300,79.8629411764706,59.9,6.74754098360656,74.3227193376092
6434,"3:4",2011,5300,71.2117647058823,32,9.22950819672131,75.3829871912297
6434,"3:4",2012,5300,61.6605882352941,61.6,7.62950819672131,74.0426974242217
6434,"3:4",2013,5300,84.2094117647059,83.6,4.35245901639344,82.6436895607696
6434,"3:4",2014,5300,83.8582352941176,61.2,9.60327868852459,76.9294229055901
6434,"3:4",2015,5300,80.2070588235294,61.8,7.09344262295082,74.1588188405372
6434,"3:4",2016,5300,76.1558823529412,106.5,5.68852459016393,79.5790558161646
6434,"3:4",2017,5300,76.7047058823529,69.6,7.8672131147541,74.4538552039501
6434,"3:4",2018,5300,73.3535294117647,89.8,7.96229508196721,75.3605538328585
6434,"3:4",2019,5300,78.6023529411765,106.9,8.18360655737705,76.1708650455397
6434,"3:4",2020,5300,80.4511764705882,57,8.64098360655738,74.7402400633964
6434,"3:4",2021,5300,75,76.8,5.59672131147541,77.5773793234138
6435,"3:7",2006,4480,69.9676470588235,395,12.1130718954248,70.0284302232033
6435,"3:7",2007,4480,68.6964705882353,471.9,12.918954248366,68.9422309249348
6435,"3:7",2008,4480,84.2252941176471,287.5,12.3928104575163,79.9536096914265
6435,"3:7",2009,4480,75.5541176470588,323.8,12.3588235294118,77.5375283188895
6435,"3:7",2010,4480,76.5829411764706,321.8,11.9660130718954,77.8569227713747
6435,"3:7",2011,4480,73.0117647058824,256,12.5679738562092,80.538941138675
6435,"3:7",2012,4480,68.5405882352941,404.5,12.6346405228758,71.9342089642012
6435,"3:7",2013,4480,81.4694117647059,316,11.4633986928105,78.2319449480981
6435,"3:7",2014,4480,83.2982352941176,270.4,13.1287581699346,76.1049104380751
6435,"3:7",2015,4480,80.6270588235294,190.5,12.7705882352941,79.7209795244262
6435,"3:7",2016,4480,67.8558823529412,385.2,12.3058823529412,72.0818970567348
6435,"3:7",2017,4480,79.7847058823529,411.4,13.2254901960784,74.14835504451
6435,"3:7",2018,4480,67.6135294117647,338.6,14.2490196078431,71.4597030874258
